,TotalLinesOfCode,TotalSymbols,SymbolsPerLine,Area,AreaPerLine,TotalConnectivity,TotalConnectivityPerLine,FieldConnectivity,FieldConnectivityPerLine,MethodConnectivity,MethodConnectivityPerLine,MethodDeclarationLines,MethodDeclarationSymbols,MethodDeclarationSymbolsPerLine,MethodDeclarationArea,MethodDeclarationDepthPerLine,KeywordContinueTotalCount,KeywordContinueCountPerLine,KeywordForTotalCount,KeywordForCountPerLine,KeywordNewTotalCount,KeywordNewCountPerLine,KeywordSwitchTotalCount,KeywordSwitchCountPerLine,KeywordAssertTotalCount,KeywordAssertCountPerLine,KeywordSynchronizedTotalCount,KeywordSynchronizedCountPerLine,KeywordBooleanTotalCount,KeywordBooleanCountPerLine,KeywordDoTotalCount,KeywordDoCountPerLine,KeywordIfTotalCount,KeywordIfCountPerLine,KeywordThisTotalCount,KeywordThisCountPerLine,KeywordBreakTotalCount,KeywordBreakCountPerLine,KeywordDoubleTotalCount,KeywordDoubleCountPerLine,KeywordThrowTotalCount,KeywordThrowCountPerLine,KeywordByteTotalCount,KeywordByteCountPerLine,KeywordElseTotalCount,KeywordElseCountPerLine,KeywordCaseTotalCount,KeywordCaseCountPerLine,KeywordInstanceofTotalCount,KeywordInstanceofCountPerLine,KeywordReturnTotalCount,KeywordReturnCountPerLine,KeywordTransientTotalCount,KeywordTransientCountPerLine,KeywordCatchTotalCount,KeywordCatchCountPerLine,KeywordIntTotalCount,KeywordIntCountPerLine,KeywordShortTotalCount,KeywordShortCountPerLine,KeywordTryTotalCount,KeywordTryCountPerLine,KeywordCharTotalCount,KeywordCharCountPerLine,KeywordFinalTotalCount,KeywordFinalCountPerLine,KeywordFinallyTotalCount,KeywordFinallyCountPerLine,KeywordLongTotalCount,KeywordLongCountPerLine,KeywordStrictfpTotalCount,KeywordStrictfpCountPerLine,KeywordFloatTotalCount,KeywordFloatCountPerLine,KeywordSuperTotalCount,KeywordSuperCountPerLine,KeywordWhileTotalCount,KeywordWhileCountPerLine,label
1152877,186,7599,40.854838709677416,365,1.962365591397849,24,0.129032258064516,9,0.048387096774193,15,0.080645161290322,202,8188,40.53465346534654,954,4.7227722772277225,0,0.0,6,0.032258064516129,8,0.043010752688172,0,0.0,0,0.0,0,0.0,2,0.010752688172043,4,0.021505376344086,25,0.134408602150537,2,0.010752688172043,0,0.0,0,0.0,8,0.043010752688172,1,0.005376344086021,2,0.010752688172043,0,0.0,0,0.0,8,0.043010752688172,0,0.0,11,0.059139784946236,5,0.026881720430107,0,0.0,3,0.016129032258064,1,0.005376344086021,16,0.086021505376344,3,0.016129032258064,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
757445,12,643,53.583333333333336,3,0.25,3,0.214285714285714,2,0.142857142857142,1,0.071428571428571,20,943,47.15,21,1.05,0,0.0,2,0.142857142857142,3,0.214285714285714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.071428571428571,0,0.0,0,0.0,0,0.0,3,0.214285714285714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.071428571428571,0,0.0,0,0.0,1,0.071428571428571,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
3855,101,5489,54.34653465346535,192,1.900990099009901,11,0.108910891089108,5,0.049504950495049,6,0.059405940594059,138,7581,54.93478260869565,424,3.072463768115942,1,0.009900990099009,18,0.178217821782178,21,0.207920792079207,0,0.0,0,0.0,0,0.0,0,0.0,3,0.029702970297029,6,0.059405940594059,3,0.029702970297029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.009900990099009,0,0.0,0,0.0,31,0.306930693069306,0,0.0,0,0.0,0,0.0,1,0.009900990099009,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
217009,14,706,50.42857142857143,4,0.285714285714285,0,0.0,0,0.0,0,0.0,171,7697,45.01169590643275,455,2.660818713450292,0,0.0,0,0.0,0,0.0,0,0.0,4,0.235294117647058,0,0.0,0,0.0,2,0.117647058823529,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
943,4,333,83.25,3,0.75,2,0.5,2,0.5,0,0.0,23,1150,50.0,54,2.347826086956522,0,0.0,1,0.25,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
294,9,384,42.66666666666666,0,0.0,4,0.444444444444444,0,0.0,4,0.444444444444444,12,497,41.41666666666666,9,0.75,0,0.0,2,0.222222222222222,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.111111111111111,0,0.0,0,0.0,1,0.111111111111111,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
1127761,2,78,39.0,0,0.0,1,0.333333333333333,1,0.333333333333333,0,0.0,6,285,47.5,4,0.6666666666666661,0,0.0,0,0.0,0,0.0,0,0.0,1,0.333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
6336,3,166,55.333333333333336,0,0.0,1,0.333333333333333,0,0.0,1,0.333333333333333,5,237,47.4,3,0.6000000000000001,0,0.0,0,0.0,1,0.333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.333333333333333,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
6008,77,5434,70.57142857142857,64,0.8311688311688311,12,0.155844155844155,11,0.142857142857142,1,0.012987012987012,80,5505,68.8125,141,1.7625000000000002,0,0.0,0,0.0,20,0.259740259740259,0,0.0,23,0.298701298701298,0,0.0,0,0.0,5,0.064935064935064,0,0.0,1,0.012987012987012,0,0.0,0,0.0,0,0.0,2,0.025974025974025,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.012987012987012,1,0.012987012987012,1,0.012987012987012,0,0.0,2,0.025974025974025,1,0.012987012987012,4,0.051948051948051,0,0,0,0.0,0,0.0,0,0.0,1
175532,61,2312,37.90163934426229,48,0.7868852459016391,10,0.163934426229508,5,0.081967213114754,5,0.081967213114754,101,3741,37.03960396039604,204,2.01980198019802,0,0.0,1,0.01639344262295,4,0.065573770491803,0,0.0,13,0.21311475409836,0,0.0,0,0.0,1,0.01639344262295,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.245901639344262,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.180327868852459,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.01639344262295,0,0,0,0.0,0,0.0,1,0.01639344262295,0
7150,8,410,51.25,2,0.25,2,0.25,2,0.25,0,0.0,224,10378,46.330357142857146,930,4.151785714285714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
486322,119,4980,41.84873949579832,26,0.218487394957983,4,0.032,0,0.0,4,0.032,202,7700,38.11881188118812,243,1.202970297029703,0,0.0,1,0.008,31,0.248,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.024,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.016,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
